"statename","fire_acre"
"CA","6656496.742312182338639"
"NH","250.649199999999994"
"OR","2495508.300761883080446"
"ND","28339.184919999999660"
"TX","904138.214599790240358"
"PR","644.299999999999955"
"NV","344765.295800252107155"
"KY","23046.150739541482980"
"OH","1733.855810000000031"
"GU","69.165183490507803"
"NY","486.343769400000007"
"HI","52883.967353524049282"
"NM","1438930.313623332426906"
"MS","19477.188422051326085"
"IN","5028.271480398145028"
"DC","5.620000000000000"
"WV","3649.138289577010212"
"NE","154230.808060407320924"
"FL","743929.938326859335661"
"MO","25473.649548571442680"
"ME","924.259830298640001"
"AR","20651.466759552391192"
"CT","161.000000000000000"
"WI","6356.296045703097355"
"NC","97423.000718419870979"
"SD","53835.322178561929633"
"RI","1100.000000000000000"
"OK","339801.164333675650016"
"GA","9505.574444480000000"
"ID","1196625.472006011371858"
"MN","60205.017394669433923"
"PA","7829.426796968698115"
"MD","2939.359901929999976"
"AK","3957781.442164480469451"
"LA","62407.413405719593009"
"WY","300782.823038874239890"
"MT","1603924.809588548126642"
"IL","330.656027571200198"
"TN","10148.150891619539148"
"NJ","30094.528592334229972"
"MI","15273.891757000000034"
"WA","1800503.966765589035743"
"MA","5973.206050157111429"
"AL","11034.098115152934075"
"IA","824.940000000000035"
"UT","390390.416086062831670"
"VT","9.388000000000000"
"CO","743834.641321976367918"
"SC","2835.948790309013875"
"VA","17375.961170367168326"
"AZ","1859194.722073872896308"
"KS","113688.451451288321220"
