"statename","fireacre","year"
"AK","254188.632176863288262","2021"
"AL","3252.305700000000012","2021"
"AR","6249.418159949333224","2021"
"AZ","546371.091472356065207","2021"
"CA","2599672.479637638352884","2021"
"CO","30898.885756461719518","2021"
"FL","194390.824102687586899","2021"
"GA","2449.651737479999992","2021"
"GU",NULL,"2021"
"HI","40002.490000000000000","2021"
"IA","39.000000000000000","2021"
"ID","409584.018353007382358","2021"
"IL","140.700000000000004","2021"
"IN","2078.500199999999946","2021"
"KS","25969.989970000000248","2021"
"KY","1464.265019999999993","2021"
"LA","3804.470000000000029","2021"
"MA","807.699290157111430","2021"
"MD","62.379390000000001","2021"
"ME","325.761819198639999","2021"
"MI","9200.428217000000052","2021"
"MN","48826.619063700001864","2021"
"MO","3429.542899999999973","2021"
"MS","3578.196813083273091","2021"
"MT","829377.573492241650820","2021"
"NC","2114.388065988653831","2021"
"ND","19642.213000000000024","2021"
"NE","8108.163938690870638","2021"
"NJ","0.300000000000000","2021"
"NM","14670.717998257020352","2021"
"NV","61796.997442341767511","2021"
"NY","135.114000000000004","2021"
"OH","132.495809999999994","2021"
"OK","54526.799999999999591","2021"
"OR","820308.813353981885626","2021"
"PA","87.810139999999996","2021"
"SC","1029.275278529013909","2021"
"SD","24197.265154039356501","2021"
"TN","2375.089185980000056","2021"
"TX","98448.718981315472859","2021"
"UT","60846.475270039525091","2021"
"VA","385.397060000000004","2021"
"VT","0.430000000000000","2021"
"WA","670146.420432923702679","2021"
"WI","825.139947583384295","2021"
"WV","183.494329999999997","2021"
"WY","28445.563528472598872","2021"
